# x	y	u	v	mask
  3.2377	  5.6310	 -1.3029	  2.4287	  0.0000
  3.8904	  5.6310	 -1.4488	  2.9382	  0.0000
  4.5431	  5.6310	 -1.7046	  2.0979	  0.0000
  5.1958	  5.6310	 -2.0202	  2.3885	  1.0000
  5.8485	  5.6310	 -2.0162	  2.3276	  1.0000
  6.5012	  5.6310	 -2.1542	  2.1572	  0.0000
  7.1540	  5.6310	 -2.1651	  2.1878	  0.0000
  7.8067	  5.6310	 -2.1765	  2.0854	  0.0000
  8.4594	  5.6310	 -2.0663	  2.2431	  0.0000
  9.1121	  5.6310	 -2.2237	  2.0945	  0.0000
  9.7648	  5.6310	 -2.2983	  2.4002	  0.0000
 10.4175	  5.6310	 -2.2128	  2.8194	  0.0000
 11.0702	  5.6310	 -2.0698	  3.0293	  0.0000
 11.7230	  5.6310	 -1.8142	  3.3056	  0.0000
 12.3757	  5.6310	 -2.0817	  3.1818	  0.0000
 13.0284	  5.6310	 -2.4190	  3.0288	  0.0000
 13.6811	  5.6310	 -2.5780	  2.8002	  0.0000
 14.3338	  5.6310	 -2.4968	  2.8102	  0.0000
 14.9865	  5.6310	 -2.5592	  2.9902	  0.0000
  0.6268	  4.9782	 -2.6753	  2.9021	  1.0000
  1.2795	  4.9782	 -3.1668	  3.4362	  0.0000
  1.9322	  4.9782	 -3.0410	  3.0189	  0.0000
  2.5850	  4.9782	 -2.0865	  2.5891	  0.0000
  3.2377	  4.9782	 -1.8974	  2.5464	  0.0000
  3.8904	  4.9782	 -1.7613	  2.4462	  0.0000
  4.5431	  4.9782	 -1.7825	  2.2043	  0.0000
  5.1958	  4.9782	 -1.8978	  1.7579	  0.0000
  5.8485	  4.9782	 -2.0248	  2.2268	  1.0000
  6.5012	  4.9782	 -2.0692	  1.8551	  0.0000
  7.1540	  4.9782	 -2.2181	  2.0742	  0.0000
  7.8067	  4.9782	 -2.1382	  2.1588	  0.0000
  8.4594	  4.9782	 -2.1270	  2.0361	  0.0000
  9.1121	  4.9782	 -2.2158	  2.2618	  0.0000
  9.7648	  4.9782	 -2.3877	  2.4525	  0.0000
 10.4175	  4.9782	 -2.2400	  2.5464	  0.0000
 11.0702	  4.9782	 -2.0827	  2.8081	  0.0000
 11.7230	  4.9782	 -2.0801	  2.9045	  0.0000
 12.3757	  4.9782	 -2.0510	  2.8448	  0.0000
 13.0284	  4.9782	 -2.2868	  2.9515	  0.0000
 13.6811	  4.9782	 -2.4155	  2.8992	  0.0000
 14.3338	  4.9782	 -2.2195	  2.6948	  0.0000
 14.9865	  4.9782	 -2.2476	  2.6081	  0.0000
  0.6268	  4.3255	 -4.5836	  4.8833	  0.0000
  1.2795	  4.3255	 -4.2794	  3.6956	  0.0000
  1.9322	  4.3255	 -3.2273	  3.3727	  0.0000
  2.5850	  4.3255	 -2.5715	  3.1781	  0.0000
  3.2377	  4.3255	 -2.3222	  2.8059	  0.0000
  3.8904	  4.3255	 -1.8371	  2.6770	  0.0000
  4.5431	  4.3255	 -1.7650	  1.9714	  0.0000
  5.1958	  4.3255	 -1.6993	  2.0086	  0.0000
  5.8485	  4.3255	 -1.6257	  1.5281	  0.0000
  6.5012	  4.3255	 -2.0021	  1.8909	  0.0000
  7.1540	  4.3255	 -2.1117	  2.0961	  0.0000
  7.8067	  4.3255	 -2.1029	  2.2396	  0.0000
  8.4594	  4.3255	 -2.1274	  2.2076	  0.0000
  9.1121	  4.3255	 -2.2602	  2.1102	  0.0000
  9.7648	  4.3255	 -2.2199	  2.2319	  0.0000
 10.4175	  4.3255	 -2.0894	  2.2982	  0.0000
 11.0702	  4.3255	 -2.0395	  2.5251	  0.0000
 11.7230	  4.3255	 -2.0518	  2.4668	  0.0000
 12.3757	  4.3255	 -1.9752	  2.4543	  0.0000
 13.0284	  4.3255	 -2.2030	  2.5258	  0.0000
 13.6811	  4.3255	 -1.9518	  2.6043	  0.0000
 14.3338	  4.3255	 -2.0988	  2.5875	  0.0000
 14.9865	  4.3255	 -2.0610	  2.6830	  0.0000
  0.6268	  3.6728	 -4.9242	  4.4741	  0.0000
  1.2795	  3.6728	 -4.4820	  4.6286	  0.0000
  1.9322	  3.6728	 -4.1753	  4.1902	  0.0000
  2.5850	  3.6728	 -3.7695	  3.5241	  0.0000
  3.2377	  3.6728	 -2.2620	  3.4973	  0.0000
  3.8904	  3.6728	 -1.8566	  2.6137	  0.0000
  4.5431	  3.6728	 -1.7544	  2.0508	  0.0000
  5.1958	  3.6728	 -1.8548	  2.0164	  0.0000
  5.8485	  3.6728	 -1.6646	  1.3512	  0.0000
  6.5012	  3.6728	 -1.8133	  1.7130	  0.0000
  7.1540	  3.6728	 -1.9638	  2.3752	  0.0000
  7.8067	  3.6728	 -2.1402	  2.2946	  0.0000
  8.4594	  3.6728	 -2.0645	  2.0073	  0.0000
  9.1121	  3.6728	 -2.0453	  1.9630	  0.0000
  9.7648	  3.6728	 -2.2658	  1.8030	  0.0000
 10.4175	  3.6728	 -2.1113	  1.9836	  0.0000
 11.0702	  3.6728	 -1.5460	  2.2130	  0.0000
 11.7230	  3.6728	 -1.6166	  1.7842	  0.0000
 12.3757	  3.6728	 -1.7451	  1.7670	  0.0000
 13.0284	  3.6728	 -1.6618	  2.0593	  0.0000
 13.6811	  3.6728	 -1.6340	  2.0763	  0.0000
